"Mas","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","nuTilda","nut","p","pFluc","pMean","rho"
0.43278,1.1646,-0.024605,0,275.32,0,0,0,0,0,0,89088,5148.6,83939,1.1245
0.33249,1.1646,-0.024613,0,279.19,0,0,0,0,0,0,93859,5406.2,88452,1.1684
0.256,1.1645,-0.024622,0,282.63,0,0,0,0,0,0,96811,5747.2,91063,1.1906
0.19222,1.1645,-0.02463,0,284.11,0,0,0,0,0,0,98747,5971.5,92776,1.2081
0.089829,1.1645,-0.024638,0,285.26,0,0,0,0,0,0,1.0075e+05,5791.3,94963,1.2277
0,1.1644,-0.024647,0,286.93,0,0,0,0,0,0,1.0385e+05,4963.1,98890,1.258
0,1.1644,-0.024643,0,288.96,0,0,0,0,0,0,1.0694e+05,3850.7,1.0309e+05,1.2863
0,1.1644,-0.024639,0,290.47,0,0,0,0,0,0,1.0879e+05,2892.3,1.059e+05,1.3018
0,1.1643,-0.024634,0,291.37,0,0,0,0,0,0,1.0992e+05,2050.3,1.0786e+05,1.3112
0,1.1643,-0.024629,0,292.11,0,0,0,0,0,0,1.1077e+05,1344.3,1.0942e+05,1.3181
0,1.1643,-0.024623,0,292.99,0,0,0,0,0,0,1.1148e+05,727.69,1.1075e+05,1.3225
0,1.1642,-0.024608,0,293.61,0,0,0,0,0,0,1.1193e+05,247.18,1.1168e+05,1.325
0,1.1642,-0.024594,0,293.75,0,0,0,0,0,0,1.1206e+05,-7.0622,1.1207e+05,1.326
0,1.1642,-0.02458,0,293.42,0,0,0,0,0,0,1.1176e+05,-170.82,1.1193e+05,1.3239
0,1.1642,-0.024566,0,292.5,0,0,0,0,0,0,1.108e+05,-444.58,1.1125e+05,1.3167
0,1.1641,-0.024552,0,291.08,0,0,0,0,0,0,1.0853e+05,-1175.6,1.0971e+05,1.2959
0,1.1641,-0.024532,0,288.13,0,0,0,0,0,0,1.0413e+05,-2758.7,1.0689e+05,1.256
0.1457,1.1641,-0.024501,0,284.97,0,0,0,0,0,0,99834,-4238.8,1.0407e+05,1.2177
0.23724,1.1641,-0.024471,0,283.13,0,0,0,0,0,0,97432,-4815.6,1.0225e+05,1.1961
0.29806,1.1641,-0.02444,0,281.25,0,0,0,0,0,0,95268,-5182.3,1.0045e+05,1.1774
0.3719,1.164,-0.024409,0,278.38,0,0,0,0,0,0,92096,-5813.3,97909,1.1498
0.47063,1.164,-0.024379,0,274.55,0,0,0,0,0,0,87062,-6950.6,94013,1.102
0.56317,1.164,-0.024346,0,270.92,0,0,0,0,0,0,81702,-8184.7,89887,1.0481
0.61705,1.164,-0.024313,0,268.62,0,0,0,0,0,0,78372,-8805.6,87178,1.0141
0.64834,1.164,-0.02428,0,266.7,0,0,0,0,0,0,76386,-8923.2,85310,0.9955
0.68769,1.164,-0.024247,0,263.31,0,0,0,0,0,0,73849,-9019.6,82869,0.97476
0.76449,1.164,-0.024214,0,258.08,0,0,0,0,0,0,68815,-9565.3,78380,0.9264
0.85828,1.164,-0.024181,0,253.27,0,0,0,0,0,0,62634,-10534,73168,0.85937
0.91572,1.164,-0.024148,0,251.29,0,0,0,0,0,0,58891,-11331,70222,0.81459
0.53654,1.1646,-0.0246,0,272.31,0,0,0,0,0,0,83296,5088.7,78208,1.0631
0.60761,1.1646,-0.024589,0,270.28,0,0,0,0,0,0,78965,5156.9,73808,1.0155
0.63689,1.1646,-0.024579,0,270.01,0,0,0,0,0,0,77117,5299.3,71818,0.99273
0.64067,1.1647,-0.024568,0,270.41,0,0,0,0,0,0,76876,5454.1,71422,0.98816
0.63344,1.1647,-0.024558,0,271.03,0,0,0,0,0,0,77336,5491.8,71844,0.99179
0.6241,1.1647,-0.024547,0,271.47,0,0,0,0,0,0,77928,5358.6,72569,0.99777
0.61899,1.1647,-0.024537,0,271.52,0,0,0,0,0,0,78250,4952.4,73298,1.0017
0.62285,1.1647,-0.024526,0,271.24,0,0,0,0,0,0,78006,4216.5,73790,0.99964
0.63479,1.1647,-0.024516,0,270.48,0,0,0,0,0,0,77251,3440.2,73810,0.99273
0.65142,1.1647,-0.024505,0,269.49,0,0,0,0,0,0,76190,2956.4,73233,0.98268
