x,Curve1
0.006149,0.124308
0.010357,0.175648
0.010567,0.243215
0.013072,0.397262
0.013265,0.459424
0.014911,0.337798
0.015483,0.52158
0.025613,0.524255
0.037674,0.497195
0.063872,0.459287
0.108339,0.437545
0.185194,0.415716
0.260067,0.407405
0.345053,0.396365
0.42195,0.388049
0.492782,0.382452
0.57781,0.384925
0.642587,0.38475
0.713437,0.384558
0.776198,0.387091
0.851146,0.403105
0.924096,0.427232
0.948455,0.448788
0.970814,0.478457
0.983078,0.516262
0.985161,0.535175
0.98737,0.594629
0.993502,0.613531
0.997349,0.548656
1.003287,0.505397
